,nr_tunnused,mse,oob
"('HallKierAlpha', 'AvgIpc', 'TPSA', 'SMR_VSA3', 'SlogP_VSA8', 'VSA_EState1')",6,-0.23,0.593
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'VSA_EState1')",7,-0.23,0.593
"('HallKierAlpha', 'TPSA', 'SMR_VSA3', 'SlogP_VSA8', 'SPS', 'VSA_EState1')",6,-0.209,0.592
"('HallKierAlpha', 'AvgIpc', 'TPSA', 'VSA_EState4', 'VSA_EState1')",5,-0.221,0.592
"('HallKierAlpha', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'SlogP_VSA8', 'SPS')",6,-0.205,0.591
"('VSA_EState2', 'AvgIpc', 'SlogP_VSA8', 'VSA_EState1')",4,-0.213,0.591
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'TPSA', 'SPS')",5,-0.215,0.591
"('AvgIpc', 'TPSA', 'SMR_VSA3', 'SlogP_VSA8', 'VSA_EState1')",5,-0.22,0.591
"('VSA_EState2', 'AvgIpc', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'VSA_EState1')",6,-0.221,0.591
"('AvgIpc', 'VSA_EState4', 'SlogP_VSA8', 'SPS', 'VSA_EState1')",5,-0.26,0.591
"('VSA_EState2', 'AvgIpc', 'TPSA', 'VSA_EState4', 'SPS')",5,-0.202,0.59
"('HallKierAlpha', 'AvgIpc', 'SMR_VSA3', 'SlogP_VSA8')",4,-0.212,0.59
"('HallKierAlpha', 'VSA_EState2', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'SPS')",6,-0.215,0.59
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'SMR_VSA3', 'SPS', 'VSA_EState1')",6,-0.225,0.59
"('VSA_EState2', 'AvgIpc', 'TPSA', 'SlogP_VSA8')",4,-0.197,0.589
"('HallKierAlpha', 'TPSA', 'VSA_EState4', 'SlogP_VSA8')",4,-0.21,0.589
"('VSA_EState2', 'AvgIpc', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'SPS')",6,-0.211,0.589
"('TPSA', 'VSA_EState4', 'SMR_VSA3', 'SlogP_VSA8', 'SPS', 'VSA_EState1')",6,-0.214,0.589
"('VSA_EState2', 'TPSA', 'SlogP_VSA8', 'VSA_EState1')",4,-0.217,0.589
"('HallKierAlpha', 'VSA_EState2', 'SMR_VSA3', 'SlogP_VSA8')",4,-0.218,0.589
"('VSA_EState2', 'AvgIpc', 'SMR_VSA3', 'SlogP_VSA8', 'SPS')",5,-0.218,0.589
"('TPSA', 'VSA_EState4', 'SMR_VSA3', 'SlogP_VSA8', 'SPS')",5,-0.203,0.588
"('AvgIpc', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'SPS', 'VSA_EState1')",6,-0.219,0.588
"('HallKierAlpha', 'VSA_EState2', 'SMR_VSA3', 'SlogP_VSA8', 'VSA_EState1')",5,-0.228,0.588
"('VSA_EState2', 'AvgIpc', 'VSA_EState4', 'SPS', 'VSA_EState1')",5,-0.233,0.588
"('VSA_EState2', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'SPS', 'VSA_EState1')",6,-0.212,0.587
"('VSA_EState2', 'VSA_EState4', 'SlogP_VSA8', 'SPS')",4,-0.221,0.587
